,id_x,RA_x,DEC_x,pos_err,DET_ML_F,rate_F,rate_F_err,flux_F,flux_F_err,snr_F,exptime_F,cts_ap_F,cts_ap_F_err,DET_ML_S,rate_S,rate_S_err,flux_S,flux_S_err,snr_S,exptime_S,cts_ap_S,cts_ap_S_err,DET_ML_H,rate_H,rate_H_err,flux_H,flux_H_err,snr_H,exptime_H,cts_ap_H,cts_ap_H_err,HR,HR_lo_lim,HR_up_lim,ra,dec,gfits,rfits,ifits,zfits,yfits
55,b'cid_34   ',150.3015499717,2.2822174863,0.134,218.99,0.00057,6.330000000000001e-05,8.95e-15,9.939999e-16,9.0,170.93,96.31,12.95,217.68,0.00041799998,5.0500003e-05,2.6500002e-15,3.2e-16,8.29,167.87,69.5,11.06,31.91,0.000155,3.9900002e-05,4.7100000000000004e-15,1.21e-15,3.88,172.75,27.12,7.08,-0.46,-0.62,-0.29,150.3015499717,2.2822174863,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3015499717/cutout-HSC-G-9813-pdr2_dud-200225-082618.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3015499717/cutout-HSC-R-9813-pdr2_dud-200225-082628.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3015499717/cutout-HSC-I-9813-pdr2_dud-200225-082636.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3015499717/cutout-HSC-Y-9813-pdr2_dud-200225-082653.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3015499717/cutout-HSC-Z-9813-pdr2_dud-200225-082644.fits
56,b'cid_3440 ',149.8893899768,1.9660288897,0.885,14.48,5.9899998e-05,3.2200000000000003e-05,9.4e-16,5.059999999999998e-16,1.86,163.11,9.78,4.45,22.41,6.52e-05,2.3800001e-05,4.13e-16,1.51e-16,2.74,162.32,10.49,4.59,-99.0,3.2899999999999987e-05,-99.0,1e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.81,149.8893899768,1.9660288897,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8893899768/cutout-HSC-G-9813-pdr2_dud-200225-082733.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8893899768/cutout-HSC-R-9813-pdr2_dud-200225-082740.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8893899768/cutout-HSC-I-9813-pdr2_dud-200225-082749.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8893899768/cutout-HSC-Y-9813-pdr2_dud-200225-082806.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8893899768/cutout-HSC-Z-9813-pdr2_dud-200225-082757.fits
58,b'cid_3529 ',149.82988,1.9907,0.906,20.64,0.000169,3.9299999999999986e-05,2.6500002e-15,6.1700003e-16,4.31,166.13,27.78,7.16,11.44,7.26e-05,2.4e-05,4.6e-16,1.52e-16,3.02,165.75,11.78,4.84,-99.0,0.0005099999999999999,-99.0,1.55e-14,-99.0,0.0,-99.0,-99.0,-99.0,-0.09,-0.31,0.18,149.82988,1.9907,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.82988/cutout-HSC-G-9813-pdr2_dud-200225-082956.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.82988/cutout-HSC-R-9813-pdr2_dud-200225-083005.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.82988/cutout-HSC-I-9813-pdr2_dud-200225-083012.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.82988/cutout-HSC-Y-9813-pdr2_dud-200225-083027.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.82988/cutout-HSC-Z-9813-pdr2_dud-200225-083019.fits
59,b'cid_3777 ',150.3187299981,2.2476906851,0.774,26.72,0.000177,3.61e-05,2.7800000000000002e-15,5.669999999999999e-16,4.92,212.78,40.61,8.56,23.17,0.000138,2.72e-05,8.75e-16,1.72e-16,5.07,208.28,30.9,7.52,17.76,0.000121000005,3e-05,3.68e-15,9.119999999999998e-16,4.04,218.23,28.84,7.28,-0.13,-0.33,0.11,150.3187299981,2.2476906851,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3187299981/cutout-HSC-G-9813-pdr2_dud-200225-083105.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3187299981/cutout-HSC-R-9813-pdr2_dud-200225-083113.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3187299981/cutout-HSC-I-9813-pdr2_dud-200225-083121.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3187299981/cutout-HSC-Y-9813-pdr2_dud-200225-083137.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3187299981/cutout-HSC-Z-9813-pdr2_dud-200225-083128.fits
61,b'cid_657  ',150.3159799771,2.3999616824000003,0.625,32.68,0.000226,4.55e-05,3.55e-15,7.139999600000002e-16,4.96,169.01,35.92,8.08,23.82,0.00013000000000000002,3.1400003e-05,8.2399995e-16,1.99e-16,4.15,167.39,20.39,6.2,11.28,0.00010700001,3.46e-05,3.25e-15,1.0499999000000001e-15,3.09,167.97,17.57,5.79,-0.18,-0.44,0.12,150.3159799771,2.3999616824000003,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3159799771/cutout-HSC-G-9813-pdr2_dud-200225-083330.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3159799771/cutout-HSC-R-9813-pdr2_dud-200225-083339.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3159799771/cutout-HSC-I-9813-pdr2_dud-200225-083346.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3159799771/cutout-HSC-Y-9813-pdr2_dud-200225-083402.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3159799771/cutout-HSC-Z-9813-pdr2_dud-200225-083353.fits
62,b'cid_700  ',149.8515099905,2.4268577043,0.276,48.07,0.000208,4.2700000000000015e-05,3.2700000000000003e-15,6.7e-16,4.88,196.51,32.81,7.74,17.94,7.56e-05,2.5e-05,4.79e-16,1.5800001e-16,3.03,185.45,11.74,4.83,30.61,0.000144,3.63e-05,4.379999999999999e-15,1.1e-15,3.97,199.32,23.31,6.6,0.17,-0.09,0.46,149.8515099905,2.4268577043,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8515099905/cutout-HSC-G-9813-pdr2_dud-200225-083439.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8515099905/cutout-HSC-R-9813-pdr2_dud-200225-083448.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8515099905/cutout-HSC-I-9813-pdr2_dud-200225-083456.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8515099905/cutout-HSC-Y-9813-pdr2_dud-200225-083512.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8515099905/cutout-HSC-Z-9813-pdr2_dud-200225-083503.fits
63,b'cid_707  ',150.0364099643,2.3210737903,0.462,49.97,0.000276,4.63e-05,4.33e-15,7.27e-16,5.95,174.17,44.78,8.97,26.32,0.000146,3.16e-05,9.26e-16,2e-16,4.62,173.45,23.38,6.61,21.23,0.000113,3.33e-05,3.44e-15,1.01e-15,3.41,173.51,18.91,5.99,-0.2,-0.45,0.09,150.0364099643,2.3210737903,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0364099643/cutout-HSC-G-9813-pdr2_dud-200225-083549.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0364099643/cutout-HSC-R-9813-pdr2_dud-200225-083556.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0364099643/cutout-HSC-I-9813-pdr2_dud-200225-083604.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0364099643/cutout-HSC-Y-9813-pdr2_dud-200225-083619.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0364099643/cutout-HSC-Z-9813-pdr2_dud-200225-083611.fits
64,b'cid_708  ',150.0522799732,2.3693448682,0.197,82.28,0.000328,5.02e-05,5.15e-15,7.88e-16,6.53,166.5,51.87,9.62,68.06,0.000204,3.71e-05,1.2899999e-15,2.35e-16,5.5,166.14,31.8,7.63,20.1,0.000117999996,3.43e-05,3.5899999999999996e-15,1.04e-15,3.44,167.5,19.14,6.02,-0.31,-0.53,-0.05,150.0522799732,2.3693448682,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0522799732/cutout-HSC-G-9813-pdr2_dud-200225-083702.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0522799732/cutout-HSC-R-9813-pdr2_dud-200225-083710.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0522799732/cutout-HSC-I-9813-pdr2_dud-200225-083718.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0522799732/cutout-HSC-Y-9813-pdr2_dud-200225-083735.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0522799732/cutout-HSC-Z-9813-pdr2_dud-200225-083727.fits
66,b'cid_735  ',150.06365916,1.7773736653,0.526,38.24,0.000193,3.63e-05,3.16e-15,5.940000000000001e-16,5.33,175.47,29.75,7.39,24.11,9.3999995e-05,2.56e-05,6.44e-16,1.75e-16,3.66,171.13,15.31,5.44,14.98,9.93e-05,2.9600000000000005e-05,3.03e-15,9.029999999999999e-16,3.36,172.55,17.22,5.74,0.07,-0.11,0.28,150.06365916,1.7773736653,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.06365916/cutout-HSC-G-9813-pdr2_dud-200225-083933.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.06365916/cutout-HSC-R-9813-pdr2_dud-200225-083942.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.06365916/cutout-HSC-I-9813-pdr2_dud-200225-083950.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.06365916/cutout-HSC-Y-9813-pdr2_dud-200225-084006.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.06365916/cutout-HSC-Z-9813-pdr2_dud-200225-083958.fits
67,b'cid_755  ',150.36993998280002,2.3438832745,0.526,34.64,0.000189,4.16e-05,2.9700001e-15,6.530000400000002e-16,4.55,162.09,29.37,7.35,33.07,0.000132,3.1199997e-05,8.369999999999999e-16,1.98e-16,4.23,161.23,20.18,6.17,-99.0,0.00022999999,-99.0,6.989999600000001e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.5,-0.74,-0.18,150.36993998280002,2.3438832745,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.36993998280002/cutout-HSC-G-9813-pdr2_dud-200225-084046.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.36993998280002/cutout-HSC-R-9813-pdr2_dud-200225-084056.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.36993998280002/cutout-HSC-I-9813-pdr2_dud-200225-084104.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.36993998280002/cutout-HSC-Y-9813-pdr2_dud-200225-084122.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.36993998280002/cutout-HSC-Z-9813-pdr2_dud-200225-084113.fits
68,b'cid_792  ',150.0305399709,2.5483153253,0.246,18.95,0.000169,4.5599998e-05,2.6500002e-15,7.1599997e-16,3.69,218.29,25.77,6.91,11.82,9.5699994e-05,3.0199999e-05,6.07e-16,1.91e-16,3.16,207.21,14.31,5.28,8.1,8.689999e-05,3.61e-05,2.64e-15,1.1e-15,2.41,232.1,13.85,5.2,-0.17,-0.51,0.17,150.0305399709,2.5483153253,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0305399709/cutout-HSC-G-9813-pdr2_dud-200225-084214.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0305399709/cutout-HSC-R-9813-pdr2_dud-200225-084222.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0305399709/cutout-HSC-I-9813-pdr2_dud-200225-084232.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0305399709/cutout-HSC-Y-9813-pdr2_dud-200225-084250.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0305399709/cutout-HSC-Z-9813-pdr2_dud-200225-084241.fits
71,b'cid_813  ',149.9832199963,1.9478939969,1.301,13.16,9.25e-05,3.5e-05,1.45e-15,5.5e-16,2.65,170.4,14.76,5.35,-99.0,0.000199,-99.0,1.2599999e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.000273,-99.0,8.3000005e-15,-99.0,0.0,-99.0,-99.0,-99.0,0.28,0.03,0.6,149.9832199963,1.9478939969,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.9832199963/cutout-HSC-G-9813-pdr2_dud-200225-084604.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.9832199963/cutout-HSC-R-9813-pdr2_dud-200225-084611.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.9832199963/cutout-HSC-I-9813-pdr2_dud-200225-084620.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.9832199963/cutout-HSC-Y-9813-pdr2_dud-200225-084636.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.9832199963/cutout-HSC-Z-9813-pdr2_dud-200225-084628.fits
74,b'cid_82   ',150.208439998,2.4147135687,0.664,35.02,0.000199,4.15e-05,3.12e-15,6.519999999999998e-16,4.79,167.37,33.02,7.76,31.02,0.000126,2.99e-05,7.990000000000001e-16,1.8999999999999998e-16,4.23,166.53,20.72,6.25,8.91,7.65e-05,3.04e-05,2.33e-15,9.24e-16,2.52,167.22,13.09,5.07,-0.34,-0.64,-0.02,150.208439998,2.4147135687,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.208439998/cutout-HSC-G-9813-pdr2_dud-200225-084939.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.208439998/cutout-HSC-R-9813-pdr2_dud-200225-084947.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.208439998/cutout-HSC-I-9813-pdr2_dud-200225-084955.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.208439998/cutout-HSC-Y-9813-pdr2_dud-200225-085011.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.208439998/cutout-HSC-Z-9813-pdr2_dud-200225-085003.fits
75,b'cid_861  ',149.91368997889998,2.2465036297,0.39,58.41,0.00035,5.42e-05,5.4899996e-15,8.51e-16,6.45,192.09,60.6,10.36,43.51,0.000187,3.64e-05,1.1900001e-15,2.31e-16,5.15,188.36,31.85,7.63,16.78,0.000164,4.14e-05,4.99e-15,1.2599999e-15,3.94,198.03,29.5,7.36,-0.12,-0.33,0.11,149.91368997889998,2.2465036297,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.91368997889998/cutout-HSC-G-9813-pdr2_dud-200225-085047.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.91368997889998/cutout-HSC-R-9813-pdr2_dud-200225-085056.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.91368997889998/cutout-HSC-I-9813-pdr2_dud-200225-085105.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.91368997889998/cutout-HSC-Y-9813-pdr2_dud-200225-085122.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.91368997889998/cutout-HSC-Z-9813-pdr2_dud-200225-085113.fits
76,b'cid_884  ',149.8452400004,2.2791557185,0.611,29.37,0.000139,3.74e-05,2.18e-15,5.8699997e-16,3.71,161.1,20.58,6.23,13.81,5.380000200000001e-05,2.22e-05,3.41e-16,1.41e-16,2.42,164.19,7.88,4.06,13.34,8.7e-05,3.1199997e-05,2.64e-15,9.479999e-16,2.78,163.18,13.21,5.09,0.02,-0.35,0.4,149.8452400004,2.2791557184999998,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8452400004/cutout-HSC-G-9813-pdr2_dud-200225-085202.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8452400004/cutout-HSC-R-9813-pdr2_dud-200225-085210.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8452400004/cutout-HSC-I-9813-pdr2_dud-200225-085219.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8452400004/cutout-HSC-Y-9813-pdr2_dud-200225-085237.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8452400004/cutout-HSC-Z-9813-pdr2_dud-200225-085227.fits
77,b'cid_892  ',150.0465399613,2.3674578755,0.381,11.68,9.82e-05,3.1400003e-05,1.5399999e-15,4.929999599999998e-16,3.12,167.7,15.56,5.48,10.07,6.620000000000001e-05,2.25e-05,4.2e-16,1.4299998999999998e-16,2.93,166.98,10.35,4.57,-99.0,0.00029300002,-99.0,8.91e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.47,-0.74,-0.22,150.0465399613,2.3674578755,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0465399613/cutout-HSC-G-9813-pdr2_dud-200225-085322.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0465399613/cutout-HSC-R-9813-pdr2_dud-200225-085330.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0465399613/cutout-HSC-I-9813-pdr2_dud-200225-085338.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0465399613/cutout-HSC-Y-9813-pdr2_dud-200225-085353.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0465399613/cutout-HSC-Z-9813-pdr2_dud-200225-085345.fits
78,b'cid_950  ',150.260759988,2.1179492088,0.537,30.4,0.000132,2.97e-05,2.0699998999999997e-15,4.66e-16,4.45,221.84,29.06,7.31,-99.0,0.000166,-99.0,1.0499999000000001e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.000145,-99.0,4.41e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.47,150.260759988,2.1179492088,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.260759988/cutout-HSC-G-9813-pdr2_dud-200225-085440.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.260759988/cutout-HSC-R-9813-pdr2_dud-200225-085448.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.260759988/cutout-HSC-I-9813-pdr2_dud-200225-085458.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.260759988/cutout-HSC-Y-9813-pdr2_dud-200225-085516.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.260759988/cutout-HSC-Z-9813-pdr2_dud-200225-085507.fits
79,b'cid_973  ',150.3354199901,2.3438742316,1.16,12.47,0.000126,4.06e-05,1.9800000000000002e-15,6.37e-16,3.1,203.55,25.49,6.88,-99.0,0.000134,-99.0,8.5e-16,-99.0,0.0,-99.0,-99.0,-99.0,6.04,8.2e-05,3.44e-05,2.49e-15,1.0499999000000001e-15,2.38,209.81,17.41,5.77,0.5,0.28,0.74,150.3354199901,2.3438742316,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3354199901/cutout-HSC-G-9813-pdr2_dud-200225-085556.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3354199901/cutout-HSC-R-9813-pdr2_dud-200225-085605.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3354199901/cutout-HSC-I-9813-pdr2_dud-200225-085613.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3354199901/cutout-HSC-Y-9813-pdr2_dud-200225-085628.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3354199901/cutout-HSC-Z-9813-pdr2_dud-200225-085621.fits
80,b'cid_992  ',150.1166999684,2.4250471996000003,0.866,23.07,0.00021400001,5.84e-05,3.36e-15,9.17e-16,3.68,147.24,28.49,7.24,20.82,0.00014099999999999998,3.94e-05,8.94e-16,2.5e-16,3.59,145.33,18.43,5.92,-99.0,0.000245,-99.0,7.4499995e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.37,-0.65,-0.15,150.1166999684,2.4250471996000003,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.1166999684/cutout-HSC-G-9813-pdr2_dud-200225-085707.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.1166999684/cutout-HSC-R-9813-pdr2_dud-200225-085714.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.1166999684/cutout-HSC-I-9813-pdr2_dud-200225-085723.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.1166999684/cutout-HSC-Y-9813-pdr2_dud-200225-085740.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.1166999684/cutout-HSC-Z-9813-pdr2_dud-200225-085731.fits
81,b'lid_1414 ',150.458793021,1.8594495551,0.276,89.52,0.00042399997,6.03e-05,7.25e-15,1.03e-15,7.03,159.48,48.71,9.33,53.37,0.000218,4.5e-05,1.6100000000000001e-15,3.33e-16,4.86,143.39,29.28,7.34,34.63,0.00020499999,4.3000004e-05,6.270000000000001e-15,1.32e-15,4.76,172.08,29.8,7.4,0.13,-0.06,0.36,150.458793021,1.8594495550999999,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.458793021/cutout-HSC-G-9813-pdr2_dud-200225-085823.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.458793021/cutout-HSC-R-9813-pdr2_dud-200225-085831.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.458793021/cutout-HSC-I-9813-pdr2_dud-200225-085840.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.458793021/cutout-HSC-Y-9813-pdr2_dud-200225-085858.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.458793021/cutout-HSC-Z-9813-pdr2_dud-200225-085849.fits
82,b'lid_1490 ',150.46088734399999,1.92274328599,0.336,35.81,0.000145,3.78e-05,2.48e-15,6.46e-16,3.84,171.2,21.59,6.37,20.7,8.329999999999999e-05,2.82e-05,6.1600000000000005e-16,2.0899999e-16,2.96,168.16,11.36,4.76,14.09,7.85e-05,3.09e-05,2.4e-15,9.46e-16,2.54,173.43,10.13,4.52,-0.06,-0.3,0.28,150.46088734399999,1.92274328599,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.46088734399999/cutout-HSC-G-9813-pdr2_dud-200225-085935.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.46088734399999/cutout-HSC-R-9813-pdr2_dud-200225-085943.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.46088734399999/cutout-HSC-I-9813-pdr2_dud-200225-085952.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.46088734399999/cutout-HSC-Y-9813-pdr2_dud-200225-090008.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.46088734399999/cutout-HSC-Z-9813-pdr2_dud-200225-090000.fits
83,b'lid_1987 ',150.323322894,2.51182864883,1.129,11.56,8.97e-05,3.06e-05,1.53e-15,5.23e-16,2.93,165.93,12.07,4.89,17.59,9.6899996e-05,3.01e-05,7.17e-16,2.2299999999999998e-16,3.22,165.0,11.32,4.75,-99.9,6.459999999999997e-05,-99.9,1.9800000000000002e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.66,150.323322894,2.51182864883,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.323322894/cutout-HSC-G-9813-pdr2_dud-200225-090048.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.323322894/cutout-HSC-R-9813-pdr2_dud-200225-090057.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.323322894/cutout-HSC-I-9813-pdr2_dud-200225-090106.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.323322894/cutout-HSC-Y-9813-pdr2_dud-200225-090124.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.323322894/cutout-HSC-Z-9813-pdr2_dud-200225-090114.fits
