,id_x,RA_x,DEC_x,pos_err,DET_ML_F,rate_F,rate_F_err,flux_F,flux_F_err,snr_F,exptime_F,cts_ap_F,cts_ap_F_err,DET_ML_S,rate_S,rate_S_err,flux_S,flux_S_err,snr_S,exptime_S,cts_ap_S,cts_ap_S_err,DET_ML_H,rate_H,rate_H_err,flux_H,flux_H_err,snr_H,exptime_H,cts_ap_H,cts_ap_H_err,HR,HR_lo_lim,HR_up_lim,ra,dec,GRI/IZY,Visible,Invisible,Saturated,"Visible, Near Saturated Object","Not Visible, Near Saturated Object","Visible, but near an object","Not Visible, but near an object",Unclear
132,b'cid_112  ',150.102614012,2.53039366026,0.1,2898.95,0.00592,0.000208,9.8599995e-14,3.47e-15,28.38,225.69,712.92,34.58,2493.83,0.00427,0.000171,3.02e-14,1.21e-15,24.94,216.93,497.67,28.95,640.0,0.00179,0.000117999996,5.47e-14,3.5999997e-15,15.12,233.77,218.04,19.29,-0.43,-0.46,-0.39,150.102614012,2.53039366026,B,Y,,,,,,,
151,b'cid_1137 ',149.9244300071,2.1492851256,0.658,33.62,0.00013500001,4.1199997e-05,2.1199998e-15,6.47e-16,3.28,179.8,22.58,6.5,21.84,8.51e-05,2.73e-05,5.4e-16,1.7300001e-16,3.11,178.64,13.96,5.22,13.94,5.0500003e-05,3.16e-05,1.5399999e-15,9.61e-16,1.6,185.82,8.97,4.29,-0.39,-0.8,0.05,149.9244300071,2.1492851256,B,,Y,,,Y,,,
158,b'cid_1143 ',150.0368600085,2.2577741018,0.246,54.19,0.000275,4.98e-05,4.32e-15,7.8200003e-16,5.51,174.73,49.98,9.45,43.3,0.000131,3.1400003e-05,8.3100004e-16,1.99e-16,4.18,169.81,23.32,6.6,15.23,0.00014,3.91e-05,4.26e-15,1.1900001e-15,3.56,179.9,26.61,7.02,-0.03,-0.27,0.21,150.0368600085,2.2577741018,B,,Y,,,,,,
161,b'cid_11455',150.044163961,2.65649197981,0.208,38.44,0.000139,3.5e-05,2.26e-15,5.69e-16,3.97,179.59,26.75,7.03,29.73,0.000129,3.24e-05,8.7299996e-16,2.1900001e-16,3.97,168.97,21.07,6.3,10.88,3.44e-05,1.99e-05,1.0499999e-15,6.07e-16,1.72,189.85,11.59,4.8,-0.33,-0.54,-0.01,150.044163961,2.6564919798099997,B,,Y,,,,,,
162,b'cid_1147 ',150.0077700096,2.149298189,0.246,25.84,0.00021199998,4.2800002e-05,3.33e-15,6.72e-16,4.96,178.89,37.41,8.23,10.88,9.09e-05,2.6400001e-05,5.7600003e-16,1.67e-16,3.44,169.7,15.71,5.5,12.15,0.000120000004,3.44e-05,3.65e-15,1.0499999e-15,3.5,181.85,22.07,6.43,0.04,-0.23,0.32,150.0077700096,2.149298189,B,,Y,,,,,,
164,b'cid_1149 ',150.0241099572,2.2447951247,0.612,10.74,6.87e-05,4.03e-05,1.08e-15,6.33e-16,1.71,171.49,11.0,4.69,-99.0,4.8600003e-05,-99.0,3.08e-16,-99.0,0.0,-99.0,-99.0,-99.0,11.9,6.27e-05,3.64e-05,1.91e-15,1.11e-15,1.72,172.97,10.35,4.57,-99.0,0.82,-99.0,150.02410995719998,2.2447951247,B,,Y,,,,,,
167,b'cid_1151 ',150.0433099711,2.156501325,0.487,22.4,0.000175,4.02e-05,2.75e-15,6.31e-16,4.34,169.68,28.36,7.23,20.1,0.000121000005,2.96e-05,7.6700003e-16,1.88e-16,4.11,168.56,19.33,6.05,-99.0,0.000272,-99.0,8.27e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.48,-0.71,-0.17,150.0433099711,2.156501325,B,,Y,,,Y,,,
168,b'cid_11537',150.2259979248047,2.268128,2.038,-99.0,0.000374,-99.0,5.8699997e-15,-99.0,0.0,-99.0,-99.0,-99.0,12.06,5.77e-05,2.1500002e-05,3.66e-16,1.3600001e-16,2.69,159.98,9.62,4.42,-99.0,9.1899994e-05,-99.0,2.79e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.26,150.225997924805,2.268128,B,,Y,,,Y,,,
172,b'cid_11566',150.40499877929688,2.278424,0.953,-99.0,0.000353,-99.0,5.54e-15,-99.0,0.0,-99.0,-99.0,-99.0,15.33,7.01e-05,2.55e-05,4.44e-16,1.62e-16,2.75,165.05,12.25,4.92,-99.0,6.42e-05,-99.0,1.95e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.59,150.40499877929702,2.2784240000000002,B,,Y,,,,,,
177,b'cid_11600',150.10000610351562,2.354513,0.269,-99.0,0.000245,-99.0,3.85e-15,-99.0,0.0,-99.0,-99.0,-99.0,13.97,4.3000004e-05,2.77e-05,2.73e-16,1.76e-16,1.55,152.23,7.13,3.89,-99.0,9.01e-05,-99.0,2.74e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.16,150.100006103516,2.3545130000000003,B,Y,,Y,,,,,
181,b'cid_11633',149.89700317382812,2.323927,1.861,-99.0,0.000777,-99.0,1.22e-14,-99.0,0.0,-99.0,-99.0,-99.0,14.61,0.00010499999,3.31e-05,6.66e-16,2.1e-16,3.19,168.45,16.89,5.69,-99.0,0.00022100001,-99.0,6.72e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.77,149.89700317382798,2.323927,B,,Y,,,,,,
191,b'cid_11725',150.46299743652344,2.120764,0.382,-99.0,0.00034600002,-99.0,5.43e-15,-99.0,0.0,-99.0,-99.0,-99.0,11.43,7.56e-05,3.45e-05,4.79e-16,2.1900001e-16,2.19,160.56,5.94,3.6,-99.0,9.23e-05,-99.0,2.81e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.38,150.462997436523,2.120764,B,,Y,,,,,Y,
192,b'cid_1173 ',150.1395199676,2.0952550875,1.525,31.72,0.00017300001,4.96e-05,2.72e-15,7.79e-16,3.48,156.13,31.01,7.54,48.54,0.000191,3.8e-05,1.21e-15,2.41e-16,5.02,151.72,33.62,7.83,-99.0,9.5699994e-05,-99.0,2.9100001e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.89,150.1395199676,2.0952550875,B,Y,,Y,,,,,Y
194,b'cid_11754',150.20899963378906,2.249554,0.367,-99.0,0.000592,-99.0,9.29e-15,-99.0,0.0,-99.0,-99.0,-99.0,16.39,4.92e-05,2.1700002e-05,3.1199998e-16,1.38e-16,2.27,160.79,7.83,4.05,-99.0,0.00025399998,-99.0,7.72e-15,-99.0,0.0,-99.0,-99.0,-99.0,0.23,0.1,0.72,150.208999633789,2.2495540000000003,B,,Y,,,,,,
207,b'cid_1188 ',149.9037499906,2.3865019869,0.648,18.05,0.000114999995,3.68e-05,1.81e-15,5.7800004e-16,3.12,164.45,18.18,5.88,15.96,6.81e-05,2.4500001e-05,4.32e-16,1.55e-16,2.77,163.99,10.61,4.62,6.05,5.3000003e-05,2.9300001e-05,1.61e-15,8.91e-16,1.81,163.27,8.54,4.2,-0.34,-0.84,0.1,149.9037499906,2.3865019869,B,,Y,,,,,Y,
211,b'cid_11905',150.368579339,1.99234311682,0.308,20.96,0.000191,4.51e-05,3.12e-15,7.36e-16,4.23,189.57,36.05,8.09,18.98,0.000115999996,3.49e-05,7.9e-16,2.38e-16,3.32,166.11,14.05,5.23,-99.9,0.00021500001,-99.9,6.56e-15,-99.9,0.0,-99.0,-99.0,-99.0,0.3,0.08,0.57,150.368579339,1.99234311682,B,Y,,Y,,,,,
212,b'cid_1191 ',149.870119959,2.3519688015,0.538,36.05,0.0002,3.83e-05,3.14e-15,6.01e-16,5.2,167.75,33.13,7.77,40.38,0.000138,2.96e-05,8.75e-16,1.88e-16,4.66,167.54,22.49,6.49,-99.0,0.000426,-99.0,1.3e-14,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.8,149.870119959,2.3519688015,B,,Y,,,,,,
224,b'cid_12011',149.96200561523438,2.21022,1.293,-99.0,0.000667,-99.0,1.0499999e-14,-99.0,0.0,-99.0,-99.0,-99.0,11.33,7.17e-05,2.3699999e-05,4.55e-16,1.5e-16,3.03,145.78,11.1,4.71,-99.0,9.95e-05,-99.0,3.02e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.67,149.962005615234,2.21022,B,,Y,,,,,Y,
229,b'cid_1206 ',150.0224700081,2.4094043251,0.649,27.64,0.00023499998,5.33e-05,3.69e-15,8.37e-16,4.42,172.9,37.78,8.27,19.44,0.000124,3.43e-05,7.86e-16,2.1700001e-16,3.62,168.9,19.55,6.08,-99.0,0.000395,-99.0,1.20000005e-14,-99.0,0.0,-99.0,-99.0,-99.0,-0.13,-0.38,0.25,150.0224700081,2.4094043250999997,B,,Y,,,,,Y,
231,b'cid_1209 ',149.8817199811,2.3679534797,0.68,23.57,0.000113,3.37e-05,1.77e-15,5.29e-16,3.35,143.43,17.59,5.79,12.17,4.66e-05,2.05e-05,2.95e-16,1.3e-16,2.27,144.84,7.19,3.9,-99.0,0.000376,-99.0,1.14e-14,-99.0,0.0,-99.0,-99.0,-99.0,-0.03,-0.26,0.26,149.88171998110002,2.3679534797,B,,Y,,,,,,
236,b'cid_1213 ',150.0007499728,2.2513576119,0.276,32.9,0.00015800001,3.88e-05,2.48e-15,6.09e-16,4.05,168.28,25.2,6.84,11.19,5.1e-05,2.1700002e-05,3.23e-16,1.38e-16,2.36,167.62,8.05,4.09,22.04,0.000112,3.35e-05,3.4e-15,1.0199999e-15,3.34,168.39,18.41,5.92,0.18,-0.13,0.51,150.0007499728,2.2513576119,B,,Y,,,,,,
246,b'cid_1221 ',150.0955299869,2.2202670742,0.684,15.89,0.000134,3.93e-05,2.0999999e-15,6.1700003e-16,3.4,185.74,24.45,6.74,27.72,0.000128,3e-05,8.12e-16,1.9e-16,4.24,184.29,22.93,6.55,-99.0,0.00016499999,-99.0,5.02e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.61,-0.82,-0.37,150.0955299869,2.2202670741999997,B,Y,,,,,,,
253,b'cid_1229 ',150.3725199818,2.2030642287,1.195,8.42,0.00010800001,2.99e-05,1.7e-15,4.69e-16,3.6,160.98,17.59,5.79,14.01,6.96e-05,2.18e-05,4.4099997e-16,1.38e-16,3.19,160.76,11.21,4.73,-99.0,0.000199,-99.0,6.05e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.38,-0.68,0.02,150.3725199818,2.2030642287,B,,Y,,,,,,
266,b'cid_1241 ',149.9447399826,2.4861770166,1.225,23.36,0.000193,3.86e-05,3.03e-15,6.06e-16,5.0,174.91,31.63,7.61,40.41,0.000186,3.41e-05,1.1799999e-15,2.16e-16,5.48,174.19,30.09,7.43,-99.0,0.000121000005,-99.0,3.68e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.68,-0.86,-0.49,149.9447399826,2.4861770166,B,,Y,,,,,Y,
272,b'cid_1246 ',150.0158299922,2.441884998,0.466,29.47,0.00021400001,4.31e-05,3.36e-15,6.77e-16,4.97,167.39,34.65,7.94,14.25,9.76e-05,2.74e-05,6.1900003e-16,1.74e-16,3.55,165.57,15.51,5.47,13.98,0.00010800001,3.3199998e-05,3.28e-15,1.01e-15,3.26,168.48,18.07,5.87,-0.06,-0.34,0.25,150.0158299922,2.441884998,B,,Y,,,,,,
275,b'cid_125  ',150.214804831,2.58270139681,0.596,83.52,0.000312,4.2e-05,5.1100003e-15,6.87e-16,7.43,163.65,43.58,8.85,53.5,0.000166,3.43e-05,1.1399999e-15,2.35e-16,4.83,161.71,23.39,6.61,29.18,0.000148,3.3599998e-05,4.5100002e-15,1.0199999e-15,4.4,162.73,21.87,6.4,-0.02,-0.18,0.15,150.214804831,2.58270139681,B,Y,,,,,,,
280,b'cid_12512',149.8800048828125,1.937113,1.26,-99.0,0.00041799998,-99.0,6.56e-15,-99.0,0.0,-99.0,-99.0,-99.0,12.24,7.22e-05,2.32e-05,4.58e-16,1.47e-16,3.13,169.16,11.4,4.77,-99.0,7.36e-05,-99.0,2.24e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.83,149.88000488281298,1.937113,B,,Y,,,,,,
288,b'cid_1259 ',150.3429899883,2.3444932296,0.532,14.45,8.1599996e-05,4.03e-05,1.28e-15,6.33e-16,2.02,216.19,18.35,5.91,12.37,6.7600005e-05,2.6099999e-05,4.29e-16,1.6499999e-16,2.6,211.05,14.89,5.37,-99.0,0.00026600002,-99.0,8.09e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.32,150.3429899883,2.3444932296000003,B,,Y,,,,,,
291,b'cid_1261 ',150.466509985,2.2989001105,1.617,21.54,0.000312,7.43e-05,4.9e-15,1.1699999e-15,4.21,127.33,34.57,7.93,8.6,9.97e-05,4.46e-05,6.3200003e-16,2.8299998e-16,2.24,116.89,10.81,4.66,14.41,0.00018999999,5.8200003e-05,5.7800004e-15,1.77e-15,3.25,133.69,23.02,6.56,0.23,-0.03,0.5,150.466509985,2.2989001105,B,,Y,,,,,,
292,b'cid_1262 ',150.3988499921,2.2709033063,0.684,20.8,0.000145,4.95e-05,2.2799999e-15,7.77e-16,2.92,163.03,26.07,6.95,14.56,9.45e-05,3.21e-05,5.99e-16,2.04e-16,2.94,157.85,16.63,5.65,-99.0,0.00022100001,-99.0,6.72e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.2,-0.48,0.3,150.3988499921,2.2709033063,B,,Y,,,,,,
293,b'cid_1263 ',150.4251899911,2.3120887098,0.744,25.31,0.000120000004,3.41e-05,1.88e-15,5.35e-16,3.51,162.9,19.13,6.02,15.14,5.0100003e-05,2.0899999e-05,3.1800002e-16,1.33e-16,2.39,162.45,7.91,4.06,8.18,7.46e-05,2.84e-05,2.27e-15,8.63e-16,2.63,162.51,12.27,4.92,-0.04,-0.44,0.37,150.4251899911,2.3120887098,B,,Y,,,,,,
294,b'cid_12635',150.25999450683594,2.374536,0.798,-99.0,0.000363,-99.0,5.7e-15,-99.0,0.0,-99.0,-99.0,-99.0,11.03,8.8500004e-05,2.48e-05,5.6100003e-16,1.57e-16,3.57,173.56,14.11,5.24,-99.0,4.51e-05,-99.0,1.37e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.41,150.259994506836,2.374536,B,Y,,Y,,,,,Y
296,b'cid_12650',150.21299743652344,2.18825,0.986,-99.0,0.000595,-99.0,9.34e-15,-99.0,0.0,-99.0,-99.0,-99.0,11.22,4e-05,1.86e-05,2.54e-16,1.18e-16,2.16,216.83,8.1,4.1,-99.0,0.00022100001,-99.0,6.72e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.43,150.212997436523,2.18825,B,,Y,,,,,,
299,b'cid_1268 ',150.443119987,2.2929357766,0.347,34.54,0.000164,4.0100003e-05,2.57e-15,6.3e-16,4.09,164.32,25.87,6.92,-99.0,1.16e-05,-99.0,7.35e-17,-99.0,0.0,-99.0,-99.0,-99.0,38.6,0.00017,3.86e-05,5.1700003e-15,1.1699999e-15,4.42,165.78,27.65,7.14,-99.0,0.96,-99.0,150.44311998700002,2.2929357766,B,Y,,,Y,,,,
306,b'cid_1275 ',150.30997643,2.50452821708,0.43,68.49,0.000355,4.9699996e-05,5.84e-15,8.1800005e-16,7.14,177.15,56.18,9.99,31.76,0.000164,3.92e-05,1.13e-15,2.71e-16,4.2,168.18,20.76,6.25,33.82,0.000203,4.1e-05,6.19e-15,1.25e-15,4.95,174.63,36.47,8.13,0.28,0.15,0.42,150.30997643,2.50452821708,B,,Y,,,,,,
311,b'cid_1280 ',150.412265969,2.4737236739,0.292,77.54,0.000305,3.78e-05,5.0100004e-15,6.2e-16,8.08,227.54,55.79,9.96,32.98,0.00011,2.6400001e-05,7.57e-16,1.8200001e-16,4.17,217.17,19.63,6.09,42.94,0.00019800001,3.49e-05,6.04e-15,1.0599999e-15,5.65,239.1,35.23,8.0,0.3,0.14,0.49,150.412265969,2.4737236739,B,,Y,,,,,Y,Y
316,b'cid_1285 ',150.3563299986,2.2239851841,0.983,12.27,0.00010499999,3.48e-05,1.65e-15,5.46e-16,3.01,174.7,17.18,5.73,-99.0,0.00022,-99.0,1.39e-15,-99.0,0.0,-99.0,-99.0,-99.0,11.39,7.91e-05,3.07e-05,2.4e-15,9.33e-16,2.58,175.06,13.27,5.1,0.57,0.36,0.82,150.35632999860002,2.2239851841,B,,Y,,,,,,
