,id_x,RA_x,DEC_x,pos_err,DET_ML_F,rate_F,rate_F_err,flux_F,flux_F_err,snr_F,exptime_F,cts_ap_F,cts_ap_F_err,DET_ML_S,rate_S,rate_S_err,flux_S,flux_S_err,snr_S,exptime_S,cts_ap_S,cts_ap_S_err,DET_ML_H,rate_H,rate_H_err,flux_H,flux_H_err,snr_H,exptime_H,cts_ap_H,cts_ap_H_err,HR,HR_lo_lim,HR_up_lim,ra,dec,GRI/IZY,Visible,Invisible,Saturated,"Visible, Near Saturated Object","Not Visible, Near Saturated Object","Visible, but near an object","Not Visible, but near an object",Unclear
697,b'cid_2191 ',150.0239600164,2.3386678852,1.213,15.59,0.000124,3.78e-05,1.95e-15,5.93e-16,3.28,167.23,19.53,6.08,12.97,7.86e-05,2.5899999e-05,4.98e-16,1.64e-16,3.04,167.26,12.24,4.92,-99.0,0.00023800001,-99.0,7.24e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.48,150.0239600164,2.3386678852,B,,Y,,,,,Y,
704,b'cid_2220 ',149.783745738,2.45213307109,0.526,24.91,0.00012699999,3.1e-05,2.08e-15,5.09e-16,4.1,159.44,22.68,6.51,36.87,0.000114999995,2.7e-05,7.9099997e-16,1.86e-16,4.25,155.95,15.94,5.54,-99.9,0.000119000004,-99.9,3.63e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.38,-0.61,-0.08,149.783745738,2.4521330710900004,B,Y,,,,,,,
706,b'cid_2229 ',149.800138132,2.47034296029,0.167,70.51,0.000368,5.2199997e-05,6.04e-15,8.57e-16,7.06,162.58,65.24,10.73,73.76,0.000278,4.46e-05,1.91e-15,3.07e-16,6.23,149.24,37.43,8.24,-99.9,0.00026600002,-99.9,8.11e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.15,-0.3,0.0,149.800138132,2.47034296029,B,,Y,,,,,,
721,b'cid_2299 ',150.420777203,2.06819676933,0.461,15.87,6.0500002e-05,2.34e-05,9.92e-16,3.84e-16,2.58,166.79,7.26,3.92,9.98,3.98e-05,1.9e-05,2.74e-16,1.31e-16,2.09,161.65,4.15,3.11,-99.9,9.25e-05,-99.9,2.82e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.03,-0.34,0.58,150.420777203,2.06819676933,B,,Y,,,,,Y,
725,b'cid_2305 ',150.425795746,2.16006029466,0.688,12.6,7.9e-05,2.97e-05,1.2999999e-15,4.9e-16,2.66,181.16,7.84,4.05,-99.9,7.92e-05,-99.9,5.5e-16,-99.9,0.0,-99.0,-99.0,-99.0,7.18,5.64e-05,2.68e-05,1.72e-15,8.1800005e-16,2.1,195.06,3.42,2.89,-99.0,-99.0,-0.31,150.425795746,2.16006029466,B,,Y,,,,,,
730,b'cid_2315 ',150.45337872,2.09925490336,0.645,50.78,0.000224,3.62e-05,3.6700002e-15,5.93e-16,6.17,235.4,55.39,9.92,41.99,0.000126,2.62e-05,8.63e-16,1.7899999e-16,4.82,226.02,27.55,7.13,15.6,0.000101,2.77e-05,3.0799998e-15,8.4499996e-16,3.63,248.06,24.48,6.75,-99.0,-99.0,-0.82,150.45337872,2.09925490336,B,Y,,,,,,,
734,b'cid_2323 ',150.491663796,2.11755995262,0.583,20.5,0.000144,3.87e-05,2.35e-15,6.31e-16,3.71,160.38,28.09,7.2,-99.9,0.000103,-99.9,7.01e-16,-99.9,0.0,-99.0,-99.0,-99.0,11.3,7.23e-05,3.1400003e-05,2.2e-15,9.57e-16,2.3,155.62,20.66,6.24,0.51,0.31,0.73,150.491663796,2.1175599526199997,B,,Y,,,,,Y,
740,b'cid_2331 ',150.506988411,2.06535038692,0.258,39.58,0.000136,3.62e-05,2.22e-15,5.91e-16,3.76,164.55,20.58,6.23,63.75,0.000153,3.09e-05,1.04e-15,2.1e-16,4.96,160.53,20.62,6.23,-99.9,4.72e-05,-99.9,1.4400001e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.9,150.506988411,2.06535038692,B,Y,,Y,,,,,
744,b'cid_235  ',150.0070399606,1.9180055093,0.539,43.77,0.000233,4.25e-05,3.66e-15,6.67e-16,5.49,176.27,38.52,8.35,26.4,0.000102,2.6700001e-05,6.47e-16,1.69e-16,3.82,175.95,16.69,5.66,19.69,0.00013500001,3.4e-05,4.1e-15,1.03e-15,3.97,175.79,22.9,6.54,0.04,-0.22,0.31,150.0070399606,1.9180055093000001,B,,Y,,,,,,
755,b'cid_2418 ',150.0351300198,2.2465687073,0.349,12.34,4.25e-05,2.74e-05,6.67e-16,4.3e-16,1.55,196.91,9.08,4.31,-99.0,5.16e-05,-99.0,3.27e-16,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.000176,-99.0,5.35e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.36,150.0351300198,2.2465687073,B,,Y,,,,,Y,Y
759,b'cid_2443 ',150.1266999857,2.1751096266,1.51,10.87,5.7800004e-05,3.01e-05,9.07e-16,4.73e-16,1.92,194.44,11.11,4.71,-99.0,6e-05,-99.0,3.8e-16,-99.0,0.0,-99.0,-99.0,-99.0,10.39,5.8e-05,2.79e-05,1.76e-15,8.4799994e-16,2.08,192.01,11.53,4.79,-99.0,0.75,-99.0,150.1266999857,2.1751096266,B,,Y,,,,,Y,
760,b'cid_2444 ',150.1393299992,2.3430127877,2.046,21.65,8.7700006e-05,3.31e-05,1.38e-15,5.2e-16,2.65,167.68,14.53,5.31,-99.0,8.78e-05,-99.0,5.57e-16,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.00031300003,-99.0,9.520001e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.31,-99.0,150.1393299992,2.3430127877,B,,Y,,,,,,
762,b'cid_2454 ',149.8568299694,2.2733967087,0.794,18.18,0.00010599999,3.54e-05,1.6599999e-15,5.56e-16,2.98,157.95,16.86,5.68,-99.0,5.7399997e-05,-99.0,3.6400002e-16,-99.0,0.0,-99.0,-99.0,-99.0,16.17,8.88e-05,3.21e-05,2.7e-15,9.760001e-16,2.76,153.91,14.53,5.31,0.67,0.56,0.9,149.8568299694,2.2733967087,B,,Y,,,,,Y,Y
776,b'cid_2500 ',149.69756899,2.30433058313,1.849,6.38,8.2e-05,2.97e-05,1.34e-15,4.8600003e-16,2.76,159.09,13.21,5.09,15.08,9.1e-05,2.74e-05,6.2199996e-16,1.87e-16,3.32,150.17,12.6,4.98,-99.9,8.37e-05,-99.9,2.5499999e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.58,-0.83,-0.38,149.69756899,2.30433058313,B,,Y,,,Y,,,
778,b'cid_2504 ',149.714104056,2.3241623219,0.783,10.81,8.48e-05,2.73e-05,1.39e-15,4.48e-16,3.1,156.29,9.53,4.4,-99.9,6.85e-05,-99.9,4.7100003e-16,-99.9,0.0,-99.0,-99.0,-99.0,9.85,7.6100005e-05,2.6700001e-05,2.32e-15,8.1400004e-16,2.85,149.55,5.8,3.56,0.08,-0.26,0.64,149.714104056,2.3241623219,B,,Y,,,,,,
779,b'cid_2507 ',149.717361208,2.36487819864,0.744,25.05,0.000169,4.02e-05,2.75e-15,6.5300004e-16,4.2,193.47,30.81,7.51,32.01,0.000138,3.09e-05,9.32e-16,2.0899999e-16,4.45,184.18,19.3,6.05,-99.9,0.00013500001,-99.9,4.12e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.06,-0.25,0.16,149.717361208,2.36487819864,B,Y,,,,,,,
786,b'cid_2524 ',149.7926499837,2.3929517081,0.428,6.1,7.44e-05,3.3199998e-05,1.1699999e-15,5.21e-16,2.23,155.58,6.3,3.69,13.19,8.86e-05,3.23e-05,5.62e-16,2.05e-16,2.74,149.17,7.43,3.96,-99.0,1.25e-05,-99.0,3.8e-16,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.9,149.79264998370002,2.3929517081,B,Y,,Y,,,,,
790,b'cid_2539 ',149.8230599895,2.3685038301,0.269,32.69,0.000154,5.1e-05,2.42e-15,8.0100004e-16,3.03,150.08,21.51,6.36,51.95,0.00015800001,3.91e-05,1e-15,2.48e-16,4.04,148.39,21.59,6.37,-99.0,0.000123,-99.0,3.74e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.73,149.8230599895,2.3685038301,B,Y,,Y,,,,,
791,b'cid_254  ',150.0977700099,1.8452300966,0.519,119.01,0.000412,5.58e-05,6.4699998e-15,8.7600004e-16,7.4,148.46,64.12,10.64,73.25,0.00026099998,4.1799998e-05,1.65e-15,2.65e-16,6.23,149.4,40.09,8.51,31.82,0.000164,3.92e-05,4.99e-15,1.1900001e-15,4.18,148.77,26.16,6.96,-0.26,-0.45,-0.04,150.0977700099,1.8452300966,B,Y,,,,,,,
807,b'cid_2605 ',150.447397972,2.05362704228,0.981,61.44,0.000308,4.4499997e-05,5.03e-15,7.27e-16,6.91,172.59,46.22,9.1,93.14,0.000308,3.9900002e-05,2.0999999e-15,2.7200001e-16,7.72,168.99,38.39,8.33,-99.9,0.000117999996,-99.9,3.5999997e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.67,-0.84,-0.49,150.447397972,2.05362704228,B,Y,,,,,,,
809,b'cid_2611 ',150.479116555,2.07161227195,0.702,13.17,0.000144,3.41e-05,2.35e-15,5.57e-16,4.23,173.32,17.54,5.79,-99.9,6.3600004e-05,-99.9,4.3400002e-16,-99.9,0.0,-99.0,-99.0,-99.0,8.01,0.000113,3.28e-05,3.4500001e-15,1e-15,3.46,171.82,15.27,5.43,-99.0,0.64,-99.0,150.479116555,2.07161227195,B,,Y,,,,,Y,
810,b'cid_262  ',150.040897248,1.76339391949,0.655,15.1,0.000103,2.8900002e-05,1.69e-15,4.73e-16,3.57,181.55,21.31,6.33,-99.9,8.75e-05,-99.9,5.99e-16,-99.9,0.0,-99.0,-99.0,-99.0,7.68,6.41e-05,2.4500001e-05,1.95e-15,7.47e-16,2.62,181.97,11.98,4.87,0.17,-0.07,0.48,150.040897248,1.76339391949,B,,Y,,,,,Y,
811,b'cid_263  ',150.043095904,1.77920985586,0.343,89.06,0.000291,3.61e-05,4.77e-15,5.91e-16,8.07,177.1,26.3,6.98,47.36,0.000145,2.86e-05,9.939999e-16,1.9600001e-16,5.07,175.77,15.5,5.47,12.87,0.000126,4.33e-05,3.8399997e-15,1.32e-15,2.92,178.58,10.28,4.55,-0.43,-0.68,-0.09,150.04309590399998,1.77920985586,B,,Y,,,,,Y,
812,b'cid_2633 ',150.1972099997,1.9855134018,0.694,22.96,0.00022100001,3.93e-05,3.47e-15,6.1700003e-16,5.62,160.13,36.62,8.15,62.28,0.000268,3.97e-05,1.7e-15,2.52e-16,6.73,157.95,43.59,8.85,-99.0,4.94e-05,-99.0,1.5e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.73,150.1972099997,1.9855134018,B,,Y,,,,,Y,
819,b'cid_268  ',150.087441096,1.74193350015,0.536,89.41,0.00039200002,4.4499997e-05,6.4200002e-15,7.2800004e-16,8.81,174.52,53.68,9.77,142.73,0.000404,4.33e-05,2.77e-15,2.96e-16,9.33,173.92,53.78,9.78,-99.9,5.29e-05,-99.9,1.61e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.94,150.087441096,1.7419335001499998,B,Y,,Y,,,,,
822,b'cid_2692 ',150.0779199783,2.0431886141,1.056,11.54,8.25e-05,3.04e-05,1.2999999e-15,4.77e-16,2.71,184.57,15.74,5.51,-99.0,0.000116999996,-99.0,7.42e-16,-99.0,0.0,-99.0,-99.0,-99.0,11.41,7.8699995e-05,2.8e-05,2.39e-15,8.51e-16,2.82,187.54,15.62,5.49,-99.0,0.18,-99.0,150.0779199783,2.0431886141,B,,Y,,,,,,
834,b'cid_2748 ',149.9749000095,2.1399440836,0.674,24.87,0.000114999995,4.4499997e-05,1.81e-15,6.9899996e-16,2.58,172.07,20.24,6.18,-99.0,0.00016499999,-99.0,1.0499999e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.000335,-99.0,1.01999995e-14,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.42,149.9749000095,2.1399440836,B,,Y,,,,,Y,
836,b'cid_2756 ',150.0028099584,2.1576991298,0.301,26.76,0.000184,5.0799998e-05,2.8900002e-15,7.98e-16,3.62,174.48,30.41,7.47,25.35,0.000112,3.31e-05,7.1e-16,2.1e-16,3.38,169.4,18.08,5.87,-99.0,0.000224,-99.0,6.81e-15,-99.0,0.0,-99.0,-99.0,-99.0,0.12,-0.12,0.44,150.0028099584,2.1576991297999997,B,Y,,,,,,,
839,b'cid_2761 ',150.0158099998,2.0354507012,1.264,13.53,0.00011,3.7e-05,1.73e-15,5.81e-16,2.97,162.0,17.62,5.8,18.83,7.85e-05,2.57e-05,4.98e-16,1.63e-16,3.06,161.58,12.43,4.95,-99.0,0.000122000005,-99.0,3.71e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.52,150.01580999979998,2.0354507012000003,B,,Y,,,,,,
841,b'cid_2763 ',150.0206699662,2.0601877975,0.773,18.49,0.00010700001,3.5999998e-05,1.68e-15,5.65e-16,2.97,176.95,17.73,5.82,-99.0,0.000159,-99.0,1.01e-15,-99.0,0.0,-99.0,-99.0,-99.0,11.61,7.94e-05,3.15e-05,2.4100002e-15,9.58e-16,2.51,176.46,13.6,5.16,0.63,0.52,0.9,150.02066996620002,2.0601877975,B,,Y,,,,,Y,Y
843,b'cid_2773 ',150.0686099874,2.1535335248,0.727,11.18,8.8e-05,3.39e-05,1.38e-15,5.32e-16,2.6,156.8,14.29,5.27,-99.0,3.69e-05,-99.0,2.34e-16,-99.0,0.0,-99.0,-99.0,-99.0,12.66,8.8e-05,3.21e-05,2.68e-15,9.760001e-16,2.74,156.08,14.68,5.34,-99.0,0.77,-99.0,150.0686099874,2.1535335248,B,,Y,,,,,Y,
854,b'cid_2828 ',149.893450007,2.0882041021,1.171,10.0,9.01e-05,3.15e-05,1.41e-15,4.9499997e-16,2.85,173.34,14.8,5.36,12.41,6.06e-05,2.1900001e-05,3.84e-16,1.39e-16,2.75,173.17,9.8,4.46,-99.0,0.000161,-99.0,4.89e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.46,-0.74,-0.17,149.893450007,2.0882041021,B,,Y,,,,,Y,Y
859,b'cid_2847 ',149.645478218,2.1703070264,1.492,11.15,0.000112,2.95e-05,1.84e-15,4.84e-16,3.79,152.07,3.05,2.76,-99.9,3.63e-05,-99.9,2.49e-16,-99.9,0.0,-99.0,-99.0,-99.0,6.66,7.81e-05,2.92e-05,2.3800002e-15,8.91e-16,2.67,149.31,4.91,3.33,-99.0,0.42,-99.0,149.645478218,2.1703070263999997,B,,Y,,,,,,
862,b'cid_2852 ',149.654631165,2.22006833419,0.785,11.29,0.00011,3.5999998e-05,1.7999999e-15,5.88e-16,3.06,167.78,13.62,5.16,10.96,9.16e-05,3.07e-05,6.25e-16,2.1e-16,2.99,162.44,9.82,4.46,-99.9,0.000102,-99.9,3.1099998e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.36,-0.66,0.06,149.654631165,2.2200683341900005,B,Y,,,,,,,
868,b'cid_287  ',150.2847799733,1.8182696975,0.544,53.01,0.00035699998,5.27e-05,5.6e-15,8.2700004e-16,6.77,160.54,56.21,9.99,39.31,0.000206,3.77e-05,1.31e-15,2.39e-16,5.46,157.73,31.9,7.64,17.19,0.000154,3.82e-05,4.6799998e-15,1.16e-15,4.05,162.84,25.11,6.83,-0.18,-0.39,0.06,150.2847799733,1.8182696975,B,,Y,,,,,,
876,b'cid_2900 ',149.838489959,2.3005985951,1.484,12.33,5.5700002e-05,3.27e-05,8.74e-16,5.13e-16,1.71,159.69,8.45,4.18,-99.0,9.649999e-05,-99.0,6.12e-16,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.00023699999,-99.0,7.1999994e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.29,-99.0,149.838489959,2.3005985951,B,,Y,,,,,,
879,b'cid_2919 ',150.2587299972,1.7637707018,1.538,12.21,0.000202,5.21e-05,3.17e-15,8.1800005e-16,3.89,194.52,30.72,7.5,17.83,0.000139,3.61e-05,8.8100003e-16,2.29e-16,3.85,187.03,20.75,6.25,8.39,9.46e-05,4.19e-05,2.8800001e-15,1.27e-15,2.25,203.9,14.89,5.37,-0.26,-0.52,0.07,150.2587299972,1.7637707018000002,B,,Y,,,,,Y,
881,b'cid_293  ',150.204947328,1.73579770775,0.5,39.66,0.000202,3.74e-05,3.31e-15,6.13e-16,5.41,167.59,32.73,7.73,28.23,0.000120000004,2.9100001e-05,8.2399995e-16,2e-16,4.1,160.04,16.94,5.7,12.46,7.63e-05,2.6700001e-05,2.33e-15,8.1400004e-16,2.86,162.87,15.31,5.44,-0.05,-0.24,0.16,150.204947328,1.73579770775,B,,Y,,,,,,
887,b'cid_2946 ',150.391189611,1.91650456182,0.652,25.24,0.00012699999,2.97e-05,2.08e-15,4.8600003e-16,4.28,180.73,26.21,6.97,12.42,5.52e-05,1.97e-05,3.77e-16,1.35e-16,2.8,180.11,9.44,4.39,12.92,7.35e-05,2.3499999e-05,2.24e-15,7.17e-16,3.12,181.41,15.47,5.47,0.21,-0.02,0.48,150.39118961100002,1.91650456182,B,,Y,,,,,Y,
899,b'cid_2995 ',150.2307499809,1.8708304945,0.469,19.9,0.000132,3.76e-05,2.0699999e-15,5.9e-16,3.51,172.82,21.68,6.38,11.62,5.54e-05,2.25e-05,3.51e-16,1.4299999e-16,2.46,172.17,8.96,4.29,10.56,9.5e-05,3.27e-05,2.8900002e-15,9.939999e-16,2.9,172.49,16.02,5.55,0.08,-0.25,0.43,150.23074998090001,1.8708304944999998,B,,Y,,,,,Y,
905,b'cid_3020 ',150.2883499755,1.9092448895,1.057,10.06,0.000124,3.72e-05,1.95e-15,5.84e-16,3.33,168.9,19.66,6.1,13.51,6.11e-05,2.33e-05,3.8699998e-16,1.48e-16,2.62,167.96,9.56,4.41,-99.0,0.00040100003,-99.0,1.22e-14,-99.0,0.0,-99.0,-99.0,-99.0,0.39,0.12,0.76,150.28834997549998,1.9092448894999998,B,,Y,,,,,Y,
907,b'cid_3029 ',149.9619800014,2.0026796138,1.462,10.96,0.000125,5.03e-05,1.96e-15,7.9e-16,2.48,140.44,14.05,5.23,-99.0,0.000103,-99.0,6.5300004e-16,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.000309,-99.0,9.390001e-15,-99.0,0.0,-99.0,-99.0,-99.0,0.55,0.39,0.89,149.9619800014,2.0026796138,B,,Y,,,,,Y,
919,b'cid_3083 ',149.839439985,1.9290662135,1.491,75.69,0.00034600002,5.0500003e-05,5.43e-15,7.93e-16,6.85,166.1,56.08,9.98,88.71,0.000265,4.0900002e-05,1.68e-15,2.59e-16,6.5,165.38,42.43,8.74,15.91,9.37e-05,3.21e-05,2.85e-15,9.760001e-16,2.92,165.24,15.59,5.48,-0.51,-0.72,-0.28,149.839439985,1.9290662134999998,B,Y,,,,,,,
926,b'cid_3121 ',149.9579499962,2.0048541832,0.429,18.86,0.00023800001,4.81e-05,3.74e-15,7.55e-16,4.95,154.47,36.43,8.13,-99.0,0.00031300003,-99.0,1.98e-15,-99.0,0.0,-99.0,-99.0,-99.0,6.24,9.4899995e-05,3.1300002e-05,2.8800001e-15,9.52e-16,3.03,159.87,15.03,5.39,-99.0,0.29,-99.0,149.9579499962,2.0048541832,B,,Y,,,,,Y,
927,b'cid_3122 ',149.9662999636,2.0327744072,0.269,19.6,0.000125,4.54e-05,1.96e-15,7.13e-16,2.75,168.84,19.98,6.14,17.09,8.55e-05,2.95e-05,5.42e-16,1.87e-16,2.89,165.89,13.42,5.13,-99.0,0.000292,-99.0,8.88e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.48,149.9662999636,2.0327744072,B,Y,,,Y,,,,
930,b'cid_3134 ',149.9967399611,2.1202125875,1.657,9.46,0.000126,4.75e-05,1.98e-15,7.46e-16,2.66,170.88,19.08,6.01,14.93,0.000103,3.1400003e-05,6.5300004e-16,1.99e-16,3.27,165.27,15.13,5.41,-99.0,0.000138,-99.0,4.1999997e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.57,149.99673996110002,2.1202125875,B,,Y,,,,,Y,Y
936,b'cid_3165 ',149.7983099899,2.0750538948,0.428,11.84,0.00010800001,3.64e-05,1.7e-15,5.71e-16,2.96,190.1,19.93,6.14,-99.0,6.2600004e-05,-99.0,3.97e-16,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.000326,-99.0,9.91e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.39,-99.0,149.7983099899,2.0750538948,B,,Y,,,,,,
938,b'cid_3171 ',149.8240100081,1.9780198004,0.763,11.41,5.65e-05,3.17e-05,8.87e-16,4.98e-16,1.78,173.97,9.27,4.35,-99.0,4.7800004e-05,-99.0,3.03e-16,-99.0,0.0,-99.0,-99.0,-99.0,8.01,4.9899998e-05,2.8900002e-05,1.52e-15,8.7899997e-16,1.73,173.6,8.4,4.17,0.15,-0.01,0.84,149.8240100081,1.9780198003999998,B,,Y,,,,,Y,Y
939,b'cid_3175 ',149.8377599897,2.0277327983,0.213,38.37,0.000138,4.58e-05,2.1700002e-15,7.19e-16,3.0,166.99,22.17,6.45,34.75,0.000104,3.1199997e-05,6.59e-16,1.98e-16,3.35,164.61,16.54,5.63,-99.0,0.000175,-99.0,5.32e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.63,149.8377599897,2.0277327983,B,,Y,,,,,,
944,b'cid_32   ',150.2912199992,2.2910280031,0.228,101.46,0.000359,5.1e-05,5.64e-15,8.0100004e-16,7.03,166.09,59.18,10.24,116.29,0.000282,4.1799998e-05,1.79e-15,2.65e-16,6.75,163.62,45.83,9.07,9.2,5.9299997e-05,2.8900002e-05,1.7999999e-15,8.7899997e-16,2.06,167.41,10.08,4.51,-0.67,-0.89,-0.44,150.2912199992,2.2910280031,B,Y,,,,,,,
953,b'cid_3228 ',149.643577583,2.0966396791,0.494,17.2,0.00010800001,3.05e-05,1.77e-15,5.0100003e-16,3.54,168.08,13.79,5.19,18.51,6.11e-05,2.1500002e-05,4.2e-16,1.48e-16,2.84,159.7,10.61,4.62,-99.9,0.00010499999,-99.9,3.2e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.46,-0.73,-0.13,149.643577583,2.0966396791,B,,Y,,,,,Y,
955,b'cid_3232 ',149.663061172,2.15155943747,0.467,28.44,0.000147,3.53e-05,2.4100002e-15,5.79e-16,4.15,161.11,19.47,6.07,38.38,0.000123,2.95e-05,8.4499996e-16,2.03e-16,4.19,158.61,17.47,5.78,-99.9,7.3e-05,-99.9,2.23e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.65,149.663061172,2.15155943747,B,Y,,Y,,,,,
959,b'cid_3243 ',149.713160015,2.0409019001,0.469,14.39,9.1400005e-05,3.39e-05,1.43e-15,5.32e-16,2.69,173.19,14.95,5.38,27.36,7.33e-05,2.4300001e-05,4.65e-16,1.54e-16,3.03,172.44,11.83,4.85,-99.0,0.00021199998,-99.0,6.44e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.6,149.713160015,2.0409019000999997,B,Y,,Y,,,,,
972,b'cid_3290 ',150.286453242,1.76593267396,0.203,14.69,8.65e-05,3.82e-05,1.43e-15,6.31e-16,2.26,159.86,17.05,5.71,19.75,0.00010800001,3.78e-05,7.51e-16,2.6300002e-16,2.85,142.48,13.0,5.05,-99.9,8.21e-05,-99.9,2.51e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.73,150.28645324200002,1.76593267396,B,,Y,,,,,,
975,b'cid_3299 ',150.334762971,1.78843150344,1.066,12.4,9.96e-05,3.04e-05,1.63e-15,4.9699997e-16,3.28,179.51,9.42,4.38,12.08,9.1400005e-05,3.59e-05,6.25e-16,2.45e-16,2.54,176.87,7.92,4.07,-99.9,7.8000005e-05,-99.9,2.3800002e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.48,-0.66,-0.29,150.334762971,1.78843150344,B,,Y,,,,,,
984,b'cid_3334 ',150.126858163,1.7751008925,0.324,16.89,9.8599994e-05,3.11e-05,1.61e-15,5.06e-16,3.17,198.67,10.5,4.6,14.65,4.9299997e-05,2.08e-05,3.34e-16,1.41e-16,2.37,186.92,5.14,3.39,-99.9,0.000113999995,-99.9,3.48e-15,-99.9,0.0,-99.0,-99.0,-99.0,0.11,-0.24,0.68,150.12685816299998,1.7751008925,B,,Y,,,,,,
985,b'cid_3335 ',150.134463436,1.72366420456,0.319,90.66,0.000297,3.65e-05,4.8499997e-15,5.95e-16,8.15,225.06,54.75,9.87,31.52,7.6799995e-05,2.01e-05,5.23e-16,1.37e-16,3.83,215.93,10.75,4.64,57.16,0.000226,3.47e-05,6.8899998e-15,1.0599999e-15,6.52,238.6,42.83,8.78,0.6,0.45,0.76,150.134463436,1.7236642045599997,IZY,,Y,,,Y,,Y,
986,b'cid_3336 ',150.134720961,1.71793130272,0.465,17.27,0.000104,3.23e-05,1.69e-15,5.2600005e-16,3.22,214.14,30.19,7.44,19.78,8.8500004e-05,2.5e-05,6e-16,1.7e-16,3.54,205.62,18.49,5.93,-99.9,0.00014199999,-99.9,4.33e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.16,-0.37,0.15,150.134720961,1.71793130272,IZY,Y,,,,,,,
988,b'cid_334  ',149.8637400135,2.0588423829,0.19,115.91,0.00042800003,5.8499998e-05,6.72e-15,9.18e-16,7.32,170.52,67.8,10.93,76.38,0.000178,3.62e-05,1.13e-15,2.3e-16,4.93,167.95,27.72,7.15,43.91,0.000246,4.63e-05,7.48e-15,1.41e-15,5.29,173.52,40.3,8.53,0.12,-0.08,0.31,149.8637400135,2.0588423829,B,Y,,,,,,,
991,b'cid_3353 ',150.1912899749,1.8054636964,0.269,15.04,6.99e-05,4.1e-05,1.1e-15,6.44e-16,1.7,162.16,11.22,4.73,15.91,5.12e-05,2.6e-05,3.25e-16,1.6499999e-16,1.96,169.41,8.11,4.11,-99.0,9.38e-05,-99.0,2.85e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.45,150.1912899749,1.8054636964,B,Y,,Y,,,,,
993,b'cid_3361 ',150.2279599905,1.8264521073,0.904,7.27,6.39e-05,2.99e-05,1e-15,4.69e-16,2.14,165.93,10.16,4.53,12.14,5.3400003e-05,2.16e-05,3.39e-16,1.37e-16,2.47,164.83,8.38,4.17,-99.0,7.71e-05,-99.0,2.3399999e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.85,150.22795999049998,1.8264521073,B,,Y,,,,,,
998,b'cid_3381 ',150.0146199979,1.845572888,0.213,46.58,0.000168,4.58e-05,2.64e-15,7.19e-16,3.67,211.31,29.61,7.37,69.27,0.000187,3.67e-05,1.1900001e-15,2.33e-16,5.1,199.06,32.18,7.67,-99.0,9.8900004e-05,-99.0,3.01e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.56,-0.75,-0.3,150.0146199979,1.8455728880000002,B,Y,,Y,,,,,
1005,b'cid_34   ',150.3015499717,2.2822174863,0.134,218.99,0.00057,6.33e-05,8.95e-15,9.939999e-16,9.0,170.93,96.31,12.95,217.68,0.00041799998,5.0500003e-05,2.6500002e-15,3.2e-16,8.29,167.87,69.5,11.06,31.91,0.000155,3.9900002e-05,4.71e-15,1.21e-15,3.88,172.75,27.12,7.08,-0.46,-0.62,-0.29,150.3015499717,2.2822174863,B,,Y,,,,,,
