,ra,dec
218,149.8942899768,2.4331435806
219,149.8369699998,2.3440480187
220,149.8421999897,2.2675337895
221,149.680722321,2.26821559744
223,149.8695399704,2.3577745127
224,149.96200561523438,2.21022
225,149.8775199646,2.3386857767
226,149.9155199747,2.3038923816
227,149.9624199955,2.320597406
228,150.0106900103,2.3330009096
229,150.0224700081,2.4094043251
230,150.0671099921,2.3724294218
231,149.8817199811,2.3679534797
233,149.9535099612,2.3831343971
234,149.8237499752,2.3854454298
235,149.9913499785,2.2600131099
236,150.0007499728,2.2513576119
237,150.0368100176,2.3585303275
239,150.06456996,2.3290336169
240,150.0201299663,2.3538470106
241,150.0295899687,2.3238138822
242,150.0480199628,2.3737242022
243,150.0759199799,2.2643749928
245,150.0802399635,2.2660173939
246,150.0955299869,2.2202670742
247,150.0958800002,2.230974426
248,150.1383999789,2.2249339121
255,149.9106199809,2.5547916842
256,149.9278599642,2.5349761947
257,149.9382699593,2.5058695677
258,149.765660994,2.52775739221
259,149.863223685,2.5499984455
261,149.845934663,2.48152749723
262,149.8680799885,2.4551580044
265,149.9365400165,2.4475697774
266,149.9447399826,2.4861770166
267,149.9776799774,2.5042039998
268,150.0018699909,2.4606518674
269,149.9571399888,2.4791542925
270,149.99720996,2.4492164224
271,149.899478403,1.76601824604
272,150.0158299922,2.441884998
273,150.0635099687,2.4218035176
275,150.214804831,2.58270139681
277,149.788724124,1.87532358872
278,149.852295074,1.78085661049
280,149.8800048828125,1.937113
294,150.25999450683594,2.374536
299,150.443119987,2.2929357766
303,149.899670476,2.59825733177
304,149.938280802,2.57744990412
305,149.9807200074,2.5214710239
306,150.30997643,2.50452821708
317,150.1419999841,2.265187476
320,150.0907299567,2.0000831835
322,150.0779000039,1.9303350097
326,149.8313800167,2.3022725823
327,149.9210700095,2.2504333756
328,150.0571799614,2.2060663848
329,150.0251999897,2.0876497839
330,149.716622795,2.30344521468
332,150.1019499664,2.1639159314
333,149.7936799766,2.2637290896
334,149.990439965,2.2973467678
335,149.8605599648,2.3878495876
